ID,グループ,施設名,郵便番号,所在地,緯度,経度,電話番号
2017,避難所,祖谷の歴史館ホール,778-0204,徳島県三好市東祖谷京上,33.86812547,133.9062119,
2018,避難所,相川集会所,779-5307,徳島県三好市山城町相川,33.97868613,133.744106,
2019,避難所,太刀野原集会所,771-2305,徳島県三好市三野町太刀野1799-5,34.0502,133.937601,
2020,避難所,太刀野山小学校,771-2306,徳島県三好市三野町太刀野山3796,34.071618,133.939112,
2021,避難所,大久保集会所,779-4804,徳島県三好市井川町井内東4024,33.99972895,133.8909639,
2022,避難所,大月集会所,778-0000,徳島県三好市大月,33.9678026,133.7132906,
2023,避難所,大申集会所,779-5165,徳島県三好市池田町松尾大申,33.95804716,133.7890395,
2024,避難所,大正分館,779-4804,徳島県三好市井川町井内東4836,34.007597,133.890683,
2025,避難所,大野交流施設,778-0000,徳島県三好市,33.96469491,133.7152039,
2026,避難所,大野集会所,779-5333,徳島県三好市山城町大野,33.9629753,133.7095447,
2027,避難所,大野小学校,779-5333,徳島県三好市山城町大野519,33.965511,133.714611,
2028,避難所,大野分館,779-5333,徳島県三好市山城町大野513,33.965393,133.714104,
2029,避難所,大和小学校,779-5301,徳島県三好市山城町大和川214番地1,33.990681,133.765533,
2030,避難所,段地多目的集会施設,779-4805,徳島県三好市井川町井内西5802番地,34.006932,133.876656,
2031,避難所,知行多目的集会施設,778-0000,徳島県三好市井川町溜渕254,33.98484034,133.8836769,
2032,避難所,地福寺,778-0000,徳島県三好市,33.99153448,133.8798764,
2033,避難所,池田高校,778-0000,徳島県三好市池田町ウヱノ2834,34.030694,133.804492,
2034,避難所,池田小学校,778-0000,徳島県三好市池田町ウヱノ2880-2910,34.03130282,133.81025,
2035,避難所,池田中学校,778-0000,徳島県三好市池田町ウヱノ2861-2869,34.03104336,133.8076683,
2036,避難所,池田幼稚園,778-0000,徳島県三好市池田町ウヱノ2867,34.030945,133.808613,
2037,避難所,中西集会所,779-5161,徳島県三好市池田町中西ナガウチ24,34.00723207,133.7881796,
2038,避難所,中西老人福祉センター,779-5161,徳島県三好市池田町中西丸畠1676-2,34.01433146,133.7872944,
2039,避難所,中村集会所,779-4803,徳島県三好市井川町吉岡192番地,34.030993,133.865492,
2040,避難所,中村分館,778-0000,徳島県三好市井川町中村流6番地,34.032523,133.863912,
2041,避難所,中津集会所,779-4805,徳島県三好市井川町井内西4977,33.99642,133.878611,
2042,避難所,中野集会所,779-5323,徳島県三好市山城町中野,33.94196055,133.7381531,
2043,避難所,町民柔剣道道場,779-4803,徳島県三好市井川町タクミ田15,34.03033878,133.8675498,
2044,避難所,長尾集会所,779-4806,徳島県三好市井川町西井川1656,34.026231,133.847484,
2045,避難所,佃西集会所,779-4806,徳島県三好市井川町西井川,34.032149,133.851603,
2046,避難所,佃分館,779-4806,徳島県三好市井川町西井川1,34.032792,133.856043,
2047,避難所,辻高校体育館,779-4802,徳島県三好市井川町御領田61-1,34.028785,133.874699,
2048,避難所,辻集会所,779-4801,徳島県三好市井川町辻316-1,34.027883,133.880248,
2049,避難所,辻小学校体育館,779-4801,徳島県三好市井川町辻53-1,34.028265,133.878458,
2050,避難所,田野々集会所,771-2306,徳島県三好市三野町太刀野山3415-1,34.072419,133.930225,
2051,避難所,東川原集会所,771-2305,徳島県三好市三野町太刀野7-1,34.045123,133.963086,
2052,避難所,東祖谷中学校,778-0203,徳島県三好市東祖谷下瀬12-1,33.874727,133.921425,
2053,避難所,東谷小学校,771-2306,徳島県三好市三野町太刀野山558,34.064797,133.97056,
2054,避難所,東部公会堂,771-2304,徳島県三好市三野町芝生1298-36,34.048713,133.964978,
2055,避難所,東分館,779-4804,徳島県三好市井川町井内東3318番地,33.999832,133.887643,
2056,避難所,徳島県立三好病院,778-0005,徳島県三好市池田町シマ815-272、1131,34.0281921,133.8179595,
2057,避難所,栃の瀬小学校,778-0205,徳島県三好市東祖谷新居屋73,33.855155,133.893107,
2058,避難所,内六集会所,779-5452,徳島県三好市山城町上名,33.8789757,133.7543172,
2059,避難所,日浦集会所,779-5453,徳島県三好市山城町下名（日浦）,33.86183373,133.758792,
2060,避難所,入体構造改善センター,778-0040,徳島県三好市池田町西山古野2367,34.04482388,133.8208798,
2061,避難所,入体集会所,778-0040,徳島県三好市池田町西山（木屋床）,34.04587431,133.8239823,
2062,避難所,農産物加工開発センター,779-4805,徳島県三好市井川町井内西5007,33.99700705,133.8791964,
2063,避難所,農村婦人の家,778-0002,徳島県三好市池田町マチ2551-1,34.0267586,133.7988412,
2064,避難所,農林漁業者健康管理施設,778-0000,徳島県三好市,34.00053154,133.8806643,
2065,避難所,馬場集会所,779-4804,徳島県三好市井川町井内東22,33.991173,133.879928,
2066,避難所,馬場小学校,778-5251,徳島県三好市池田町白地ウマバ429-1,34.03561108,133.7826398,
2067,避難所,馬路構造改善センター,778-5252,徳島県三好市池田町馬路蔭ノ前54,34.01303285,133.7523805,
2068,避難所,馬路集会所,779-4804,徳島県三好市井川町井内東3045-2,34.003964,133.883369,
2069,避難所,馬路小学校,778-5252,徳島県三好市池田町馬路字立石33-1,34.009688,133.735506,
2070,避難所,梅谷多目的集会所,779-5162,徳島県三好市池田町漆川下川原134-1,33.99086106,133.8110625,
2071,避難所,白地公民館,778-5251,徳島県三好市池田町白地本名153-1,34.01694383,133.7815388,
2072,避難所,白地小学校,778-5251,徳島県三好市池田町白地本名57,34.017023,133.782522,
2073,避難所,箸蔵小学校,778-0020,徳島県三好市池田町州津井関1209,34.036944,133.836764,
2074,避難所,尾又集会所,779-5327,徳島県三好市山城町尾又,33.92720122,133.6983733,
2075,避難所,浜の町集会所,779-4801,徳島県三好市井川町辻156,34.029366,133.880213,
2076,避難所,府甲部集会所,778-5251,徳島県三好市池田町白地（府甲部）,34.00484182,133.7699732,
2077,避難所,平集会所,779-4804,徳島県三好市井川町井内東513,33.988178,133.889228,
2078,避難所,平中集会所,779-5452,徳島県三好市山城町上名,33.87777469,133.7291083,
2079,避難所,平野小学校,779-5337,徳島県三好市山城町平野55,33.941816,133.694593,
2080,避難所,母子健康センター,779-4802,徳島県三好市井川町井関38-3,34.027006,133.879753,
2081,避難所,峰ノ久保集会所,778-0040,徳島県三好市池田町西山峰ノ久保,34.03957733,133.8206979,
2082,避難所,峯集会所,779-5451,徳島県三好市山城町西宇（峯）,33.9151007,133.7451652,
2083,避難所,末集会所,779-4806,徳島県三好市井川町西井川70-1,34.028018,133.829547,
2084,避難所,末貞集会所,779-5316,徳島県三好市山城町末貞,33.95576462,133.7541916,
2085,避難所,名頃集会所,778-0201,徳島県三好市東祖谷菅生,33.87532347,133.9928093,
2086,避難所,茂地集会所,778-0000,徳島県三好市茂地,33.96425491,133.6907437,
2087,避難所,野住集会所,779-4805,徳島県三好市井川町井内西2460番地,33.988978,133.859433,
2088,避難所,野呂内造改善センター,778-5251,徳島県三好市池田町白地ノロウチ247-1,34.05758631,133.7654437,
2089,避難所,有瀬小学校,778-0103,徳島県三好市西祖谷山村有瀬414番地1,33.83927429,133.7973201,
2090,避難所,落合小学校,778-0202,徳島県三好市東祖谷落合403,33.878286,133.938172,
2091,避難所,里川集会所,779-4807,徳島県三好市井川町里川272番地2,34.008422,133.847699,
2092,避難所,緑の村管理センター（しらさぎ荘）,779-5165,徳島県三好市池田町松尾宮石,33.95847306,133.8203715,
2093,避難所,老人憩いの家,778-0004,徳島県三好市池田町シンマチ1475-3,34.02544708,133.8107211,
2094,避難所,老人憩いの家白寿荘,779-4806,徳島県三好市井川町西井川453-3,34.02843622,133.8417891,
2095,避難所,老人福祉センター,779-4801,徳島県三好市井川町辻100-2,34.02872348,133.8788278,
2096,避難所,和田小学校,778-0206,徳島県三好市東祖谷和田1-1,33.872904,133.86938,
2097,避難所,檪生（いちう）小学校,778-0101,徳島県三好市西祖谷山村一宇262-1,33.893648,133.815332,
2098,避難所,黎明分館,779-4806,徳島県三好市井川町西井川208番地1,34.030138,133.8351,
2099,避難所,サルビア作業所,771-4300,徳島県勝浦郡勝浦町,33.93216402,134.4877637,
2100,避難所,円城寺,771-4300,徳島県勝浦郡勝浦町,33.92986369,134.5028189,
2101,避難所,横瀬集会所,771-4300,徳島県勝浦郡勝浦町,33.92906121,134.4946471,
2102,避難所,横瀬小学校,771-4300,徳島県勝浦郡勝浦町,33.930107,134.493781,
2103,避難所,掛谷集会所,771-4300,徳島県勝浦郡勝浦町,33.94856017,134.5544413,
2104,避難所,久国集会所,771-4300,徳島県勝浦郡勝浦町,33.93070792,134.5103993,
2105,避難所,教育集会所,771-4300,徳島県勝浦郡勝浦町,33.94200715,134.5284333,
2106,避難所,玉の木集会所,771-4300,徳島県勝浦郡勝浦町,33.94056694,134.5321054,
2107,避難所,今宮神社,771-4300,徳島県勝浦郡勝浦町,33.95068368,134.5451896,
2108,避難所,今山ふれあい交流館,771-4300,徳島県勝浦郡勝浦町,33.94807156,134.5421652,
2109,避難所,坂本集会所,771-4308,徳島県勝浦郡勝浦町坂本字宮平2,33.936243,134.452873,
2110,避難所,坂本体育館,771-4300,徳島県勝浦郡勝浦町大字坂本字宮平1-5,33.936112,134.453126,
2111,避難所,坂本八幡神社,771-4300,徳島県勝浦郡勝浦町,33.93628939,134.4519014,
2112,避難所,三崎集会所,771-4300,徳島県勝浦郡勝浦町,33.93398157,134.4610512,
2113,避難所,山西集会所,771-4300,徳島県勝浦郡勝浦町,33.94339712,134.5426584,
2114,避難所,子育て交流支援センター,771-4300,徳島県勝浦郡勝浦町,33.94871798,134.5581028,
2115,避難所,市の江集会所,771-4300,徳島県勝浦郡勝浦町,33.93177939,134.4844524,
2116,避難所,慈林寺,771-4300,徳島県勝浦郡勝浦町,33.94965145,134.543307,
2117,避難所,住民福祉センター,771-4300,徳島県勝浦郡勝浦町,33.931453,134.511251,
2118,避難所,勝浦こすもす保育園（旧生比奈保育所）,771-4300,徳島県勝浦郡勝浦町,33.940694,134.536251,
2119,避難所,勝浦みかん保育園（旧横瀬保育所）,771-4300,徳島県勝浦郡勝浦町,33.930022,134.492714,
2120,避難所,勝浦会館,771-4300,徳島県勝浦郡勝浦町大字沼江字猿滝58,33.94192156,134.528684,
2121,避難所,勝浦高校,771-4300,徳島県勝浦郡勝浦町,33.931855,134.513212,
2122,避難所,勝浦中学校,771-4300,徳島県勝浦郡勝浦町,33.933549,134.510934,
2123,避難所,勝浦町民体育館,771-4300,徳島県勝浦郡勝浦町大字三溪字古川1-1,33.93289408,134.4860319,
2124,避難所,沼江センター,771-4300,徳島県勝浦郡勝浦町,33.9483214,134.5579114,
2125,避難所,神宮寺,771-4300,徳島県勝浦郡勝浦町,33.93948972,134.5212241,
2126,避難所,星谷集会所,771-4300,徳島県勝浦郡勝浦町,33.93787748,134.5221175,
2127,避難所,生比奈小学校,771-4300,徳島県勝浦郡勝浦町,33.940609,134.535086,
2128,避難所,生名コミュニティセンター,771-4300,徳島県勝浦郡勝浦町,33.9292239,134.5180704,
2129,避難所,生名センター（観正寺）,771-4300,徳島県勝浦郡勝浦町,33.92698556,134.51299,
2130,避難所,生名農村集会所（東林庵）,771-4300,徳島県勝浦郡勝浦町,33.9301804,134.5197698,
2131,避難所,石原集会所,771-4301,徳島県勝浦郡勝浦町沼江字神谷126,33.954162,134.559339,
2132,避難所,善入寺,771-4300,徳島県勝浦郡勝浦町,33.94362972,134.5505612,
2133,避難所,胎蔵寺,771-4300,徳島県勝浦郡勝浦町,33.94858758,134.5585532,
2134,避難所,大宮神社,771-4300,徳島県勝浦郡勝浦町,33.99843785,134.4702444,
2135,避難所,棚野集会所,771-4300,徳島県勝浦郡勝浦町,33.93198974,134.5016349,
2136,避難所,中角集会所・舞台,771-4300,徳島県勝浦郡勝浦町,33.93487687,134.530642,
2137,避難所,東とくしま農業協同組合勝浦統括支所,771-4300,徳島県勝浦郡勝浦町,33.92986182,134.4969153,
2138,避難所,東とくしま農業協同組合生比奈支所,771-4300,徳島県勝浦郡勝浦町,33.94352959,134.5422822,
2139,避難所,徳島医療福祉専門学校体育館,771-4300,徳島県勝浦郡勝浦町,33.9343041,134.4992218,
2140,避難所,農事集会所,771-4300,徳島県勝浦郡勝浦町,33.93361173,134.4981351,
2141,避難所,農村婦人の家,771-4300,徳島県勝浦郡勝浦町大字中角字豊田8-1,33.93976225,134.5354465,
2142,避難所,妙音寺,771-4300,徳島県勝浦郡勝浦町,33.93946342,134.5013735,
2143,避難所,与川内集会所,771-4300,徳島県勝浦郡勝浦町,33.93882259,134.4767974,
2144,避難所,立川集会所,771-4300,徳島県勝浦郡勝浦町,33.92176398,134.48391,
2145,避難場所,コミュニティセンター,771-4500,徳島県勝浦郡上勝町,33.88884134,134.4018182,
2146,避難場所,旭基幹集落センター,771-4500,徳島県勝浦郡上勝町,33.87854782,134.3896253,
2147,避難場所,高鉾公民館,771-4505,徳島県勝浦郡上勝町正木字中津66番地,33.920764,134.428025,
2148,避難場所,福原ふれあいセンター,771-4501,徳島県勝浦郡上勝町福原字平間45番地2,33.884428,134.415672,
2149,避難場所,傍示定住センター,771-4504,徳島県勝浦郡上勝町傍示下地65番地1,33.915524,134.419495,
2150,避難施設,宮前公民館,771-4101,徳島県名東郡佐那河内村下字幸田170-1,33.991169,134.437578,
2151,避難施設,高樋保健センター,771-4101,徳島県名東郡佐那河内村下字高樋,33.99966152,134.4746498,
2152,避難施設,佐那河内小学校,771-4101,徳島県名東郡佐那河内村下字中川原,33.992458,134.455216,
2153,避難施設,佐那河内中学校,771-4101,徳島県名東郡佐那河内村下字西ノハナ,33.994208,134.458243,
2154,避難施設,嵯峨生活改善センター,771-4101,徳島県名東郡佐那河内村下字宮本,33.9824119,134.4582229,
2155,避難施設,嵯峨老人憩いの家,771-4101,徳島県名東郡佐那河内村下字下田,33.98859542,134.4676595,
2156,避難施設,桜集会所,771-4101,徳島県名東郡佐那河内村下字仁井田,33.9857241,134.4209884,
2157,避難施設,寺谷生活改善センター,771-4101,徳島県名東郡佐那河内村下字寺谷,34.00088584,134.488715,
2158,避難施設,農業振興センター,771-4101,徳島県名東郡佐那河内村下字中辺,33.99347845,134.4522627,
2159,指定避難場所,フジグラン石井,779-3200,徳島県名西郡石井町,34.08385015,134.442131,
2160,指定避難場所,浦庄小学校,779-3200,徳島県名西郡石井町浦庄字下浦475-1,34.066337,134.416415,
2161,一時避難場所,下浦東農業構造改善センター,779-3200,徳島県名西郡石井町浦庄字下浦915番地,34.062783,134.421195,
2162,一時避難場所,加茂野農業構造改善センター,779-3200,徳島県名西郡石井町高川原字加茂野145番地,34.08567384,134.4569217,
2163,一時避難場所,関農業構造改善センター,779-3200,徳島県名西郡石井町高原字関357番地1,34.08064782,134.4036037,
2164,指定避難場所,公民館浦庄分館,779-3200,徳島県名西郡石井町浦庄字下浦602-1,34.06697531,134.420071,
2165,指定避難場所,公民館高原分館,779-3200,徳島県名西郡石井町高原字東高原223-1,34.0840079,134.4217394,
2166,指定避難場所,公民館高川原分館,779-3200,徳島県名西郡石井町高川原字高川原1276,34.07659009,134.4495115,
2167,指定避難場所,公民館石井分館,779-3200,徳島県名西郡石井町石井字石井431-1,34.0689707,134.4432717,
2168,指定避難場所,公民館藍畑分館,779-3200,徳島県名西郡石井町藍畑字高畑1332-1,34.09436562,134.4390801,
2169,広域避難場所、指定避難場所,高浦中学校,779-3200,徳島県名西郡石井町浦庄字国実100,34.076753,134.421081,
2170,指定避難場所,高原小学校,779-3200,徳島県名西郡石井町高原字東高原250-1,34.082947,134.420831,
2171,指定避難場所,高川原小学校,779-3200,徳島県名西郡石井町高川原字高川原1167,34.07711294,134.4481054,
2172,指定避難場所,高川原町民体育館,779-3200,徳島県名西郡石井町高川原字高川原1161,34.076551,134.448047,
2173,一時避難場所,高畑東農業構造改善センター,779-3200,徳島県名西郡石井町藍畑字高畑436番地5,34.09279848,134.4471861,
2174,広域避難場所,三郎広場,779-3200,徳島県名西郡石井町藍畑字西覚円,34.0914149,134.4148197,
2175,指定避難場所,社会福祉法人有誠福祉会,779-3200,徳島県名西郡石井町,34.061143,134.428636,
2176,一時避難場所,重松農業構造改善センター,779-3200,徳島県名西郡石井町石井字重松235番地4,34.07196605,134.4338017,
2177,指定避難場所,石井小学校,779-3200,徳島県名西郡石井町石井字石井1184-1,34.065726,134.443995,
2178,指定避難場所、広域避難場所,石井中学校,779-3200,徳島県名西郡石井町高川原字高川原125-1,34.074447,134.439662,
2179,一時避難場所,石井町高畑西集会所,779-3200,徳島県名西郡石井町藍畑字高畑1155番地1,34.09359355,134.4378911,
2180,一時避難場所,石井町消防団高川原分団第３部,779-3200,徳島県名西郡石井町高川原字南島477番地地先,34.07895602,134.4352314,
2181,一時避難場所,石井町消防団石井分団第７部,779-3200,徳島県名西郡石井町石井字白鳥553番地,34.06769196,134.459177,
2182,一時避難場所,石井町消防団藍畑分団第７部,779-3200,徳島県名西郡石井町藍畑字東覚円483番地2,34.09587313,134.4362494,
2183,一時避難場所,石井町上南集会所,779-3200,徳島県名西郡石井町浦庄字上浦632番地7,34.06581564,134.4044156,
2184,指定避難場所,石井町地域防災交流センター,779-3200,徳島県名西郡石井町石井字石井365-1,34.070838,134.446412,
2185,指定避難場所,石井町中央公民館,779-3200,徳島県名西郡石井町石井字石井480-1,34.06793177,134.4465239,
2186,指定避難場所,石井町保健センター,779-3200,徳島県名西郡石井町石井字石井380-11,34.07010245,134.4454565,
2187,一時避難場所,石井町竜王集会所,779-3200,徳島県名西郡石井町藍畑字高畑52番地10,34.09313605,134.4518607,
2188,指定避難場所,石井町老人福祉センター,779-3200,徳島県名西郡石井町石井字石井431-2,34.068865,134.443412,
2189,広域避難場所,前山公園,779-3200,徳島県名西郡石井町石井字城ノ内,34.05759984,134.4363614,
2190,指定避難場所,前山公園屋内運動場（体育館）,779-3200,徳島県名西郡石井町石井字城ノ内923,34.057845,134.435199,
2191,一時避難場所,大万農業構造改善センター,779-3200,徳島県名西郡石井町浦庄字大万137番地1,34.07583415,134.4286643,
2192,一時避難場所,南島農業構造改善センター,779-3200,徳島県名西郡石井町高川原字南島627番地,34.0804694,134.4297916,
2193,指定避難場所,尼寺教育センター,779-3200,徳島県名西郡石井町石井字尼寺53-1,34.068938,134.467402,
2194,指定避難場所,農業大学校（本館）,779-3200,徳島県名西郡石井町石井字石井2202-1,34.06251816,134.4530565,
2195,広域避難場所,飯尾川公園,779-3200,徳島県名西郡石井町高川原字高川原,34.08482487,134.445555,
2196,指定避難場所,名西高校,779-3200,徳島県名西郡石井町石井字石井21-11,34.072642,134.440357,
2197,指定避難場所,藍畑小学校,779-3200,徳島県名西郡石井町藍畑字東覚円670,34.09739,134.44044,
2198,津波避難場所,サンライン入口,775-0005,徳島県海部郡牟岐町灘字西ノ山,33.66840565,134.4266844,
2199,津波避難場所,スバナ地区奥高台,775-0010,徳島県海部郡牟岐町牟岐浦字出羽島,33.63420774,134.4214726,
2200,津波避難場所,奥前地区高台,775-0006,徳島県海部郡牟岐町中村字奥前,33.67092056,134.4116696,
2201,指定避難場所,横瀬文化センター,775-0003,徳島県海部郡牟岐町辺川,33.68995976,134.4356151,
2202,指定避難場所,河内小学校体育館,775-0000,徳島県海部郡牟岐町大字河内字西川又290,33.686302,134.420255,
2203,指定避難場所,海の総合文化センター,775-0004,徳島県海部郡牟岐町川長字新光寺82,33.674589,134.421644,
2204,津波避難場所,海蔵寺,775-0005,徳島県海部郡牟岐町灘字宮田,33.66778289,134.4246945,
2205,指定避難場所,海部総合センター,775-0006,徳島県海部郡牟岐町中村字清水,33.67521824,134.4199283,
2206,津波避難場所,海部老人ホーム,775-0006,徳島県海部郡牟岐町中村字清水120,33.674777,134.417917,
2207,津波避難場所,皆の谷団地駐車場,775-0006,徳島県海部郡牟岐町中村字清水,33.67475465,134.4191454,
2208,津波避難場所,観栄寺,775-0010,徳島県海部郡牟岐町牟岐浦字出羽島,33.63430096,134.4255855,
2209,指定避難場所,喜来多目的集会所,775-0002,徳島県海部郡牟岐町橘字みやのもと729-7,33.6965968,134.4309383,
2210,指定避難場所,橘コミュニティセンター,775-0002,徳島県海部郡牟岐町橘,33.70368941,134.4436473,
2211,指定避難場所,宮の本コミュニティセンター,775-0010,徳島県海部郡牟岐町牟岐浦字宮ノ本267-1,33.66598584,134.4240326,
2212,津波避難場所,宮田避難広場,775-0005,徳島県海部郡牟岐町灘字宮田,33.66817926,134.4257997,
2213,津波避難場所,近藤氏宅付近高台,775-0006,徳島県海部郡牟岐町中村字大谷,33.66453288,134.4175712,
2214,津波避難場所,県立海部病院,775-0006,徳島県海部郡牟岐町中村字本村75-1,33.670667,134.419361,
2215,指定避難場所,古牟岐コミュニティセンター,775-0005,徳島県海部郡牟岐町灘字下浜辺,33.66609251,134.4401895,
2216,津波避難場所,古牟岐地区高台?@,775-0005,徳島県海部郡牟岐町灘字下浜辺,33.66537543,134.4389358,
2217,津波避難場所,古牟岐地区高台?A,775-0005,徳島県海部郡牟岐町灘字下浜辺,33.66619143,134.4391734,
2218,津波避難場所,古牟岐地区高台?B,775-0005,徳島県海部郡牟岐町灘字下浜辺,33.6670272,134.4402905,
2219,津波避難場所,古牟岐地区高台?C,775-0005,徳島県海部郡牟岐町灘字下浜辺,33.66788768,134.4415918,
2220,指定避難場所,公民館上ノ町分館,775-0006,徳島県海部郡牟岐町中村字本村,33.66799224,134.4173826,
2221,指定避難場所,公民館中ノ島分館,775-0006,徳島県海部郡牟岐町中村字本村,33.66786878,134.4211429,
2222,指定避難場所,公民館東の中分館,775-0005,徳島県海部郡牟岐町灘字宮田,33.66702131,134.4267742,
2223,指定避難場所,公民館平野分館,775-0001,徳島県海部郡牟岐町河内平野,33.6909291,134.4184796,
2224,指定避難場所,高齢者コミュニティセンター島の家,775-0000,徳島県海部郡牟岐町出羽島,33.63549129,134.4246682,
2225,指定避難場所,高齢者コミュニティセンター浜の家,775-0010,徳島県海部郡牟岐町牟岐浦字浜崎220-1,33.66690868,134.4197529,
2226,津波避難場所,砂美地区高台,775-0005,徳島県海部郡牟岐町灘字中山,33.6654836,134.4305598,
2227,指定避難場所,笹見コミュニティセンター,775-0001,徳島県海部郡牟岐町河内笹見,33.69235781,134.403375,
2228,津波避難場所,三崎神社,775-0004,徳島県海部郡牟岐町川長字関,33.67908677,134.4177456,
2229,津波避難場所,山戸地区高台?@,775-0004,徳島県海部郡牟岐町川長字山戸,33.67796071,134.4261401,
2230,津波避難場所,山戸地区高台?A,775-0004,徳島県海部郡牟岐町川長字山戸,33.67703109,134.4265086,
2231,津波避難場所,山田地区高台,775-0006,徳島県海部郡牟岐町中村字杉谷,33.67031774,134.4143876,
2232,津波避難場所,市宇谷地区高台,775-0004,徳島県海部郡牟岐町川長字市宇谷,33.67079478,134.4274461,
2233,津波避難場所,秋葉神社,775-0004,徳島県海部郡牟岐町川長字天神前,33.66872195,134.4230201,
2234,津波避難場所、指定避難場所,出羽小学校,775-0010,徳島県海部郡牟岐町牟岐浦字出羽島46-2,33.634894,134.4230126,
2235,指定避難場所,出羽島漁村センター,775-0000,徳島県海部郡牟岐町出羽島4-1-5,33.636883,134.4240321,
2236,指定避難場所,小松コミュニティセンター,775-0003,徳島県海部郡牟岐町辺川,33.69250096,134.4352646,
2237,指定避難場所、津波避難場所,杉王神社,775-0006,徳島県海部郡牟岐町中村,33.67308105,134.4173659,
2238,津波避難場所,杉谷ハイツ,775-0006,徳島県海部郡牟岐町中村字杉谷,33.67041752,134.4132061,
2239,津波避難場所,正観寺,775-0006,徳島県海部郡牟岐町中村字奥前,33.6716821,134.4080629,
2240,指定避難場所,清水文化センター,775-0006,徳島県海部郡牟岐町中村字清水,33.67576835,134.4208211,
2241,指定避難場所,西浦会館,775-0010,徳島県海部郡牟岐町牟岐浦字浜崎,33.66631467,134.4181956,
2242,指定避難場所,西又コミュニティセンター,775-0001,徳島県海部郡牟岐町河内西又1343,33.69488422,134.3808371,
2243,指定避難場所,川長コミュニティセンター,775-0004,徳島県海部郡牟岐町川長字新光寺24,33.67187656,134.4214225,
2244,津波避難場所,大戸地区高台,775-0006,徳島県海部郡牟岐町中村字大戸,33.66016748,134.4150751,
2245,津波避難場所,大谷地区高台,775-0006,徳島県海部郡牟岐町中村字大谷,33.66574948,134.413091,
2246,津波避難場所,大谷避難広場,775-0006,徳島県海部郡牟岐町中村字大谷,33.66695614,134.4163353,
2247,津波避難場所,大坪地区高台,775-0004,徳島県海部郡牟岐町川長字大坪,33.6721653,134.4242871,
2248,津波避難場所,中山地区高台,775-0005,徳島県海部郡牟岐町灘字中山,33.66802553,134.4317244,
2249,指定避難場所,中村文化センター,775-0006,徳島県海部郡牟岐町中村,33.67114995,134.4170004,
2250,津波避難場所,天神社,775-0004,徳島県海部郡牟岐町川長字天神前,33.67025891,134.4237356,
2251,指定避難場所,天神前コミュニティセンター,775-0004,徳島県海部郡牟岐町川長字天神前52-3,33.66985159,134.4226381,
2252,津波避難場所,天神前地区高台,775-0004,徳島県海部郡牟岐町川長字天神前,33.66897784,134.4229607,
2253,津波避難場所、指定避難場所,東部コミュニティセンター,775-0010,徳島県海部郡牟岐町牟岐浦字馬地12,33.66568536,134.4273868,
2254,津波避難場所,洞雲寺,775-0004,徳島県海部郡牟岐町川長字大坪,33.67304552,134.4232295,
2255,津波避難場所、指定避難場所,内妻コミュニティセンター,775-0007,徳島県海部郡牟岐町内妻字丸山142-3,33.66146656,134.4003252,
2256,津波避難場所,内妻地区高台?@,775-0007,徳島県海部郡牟岐町内妻字白木,33.66156009,134.4043514,
2257,津波避難場所,内妻地区高台?A,775-0007,徳島県海部郡牟岐町内妻字白木,33.660566,134.4056884,
2258,指定避難場所,灘コミュニティセンター,775-0005,徳島県海部郡牟岐町灘字大平間,33.67138162,134.4340853,
2259,津波避難場所,馬地地区高台,775-0010,徳島県海部郡牟岐町牟岐浦字馬地,33.66392526,134.4260567,
2260,津波避難場所,八坂地区高台,775-0006,徳島県海部郡牟岐町中村字大谷,33.66369018,134.4146975,
2261,津波避難場所,八幡神社,775-0005,徳島県海部郡牟岐町灘字宮田,33.66776311,134.4233397,
2262,指定避難場所,辺川農業構造改善センター,775-0003,徳島県海部郡牟岐町辺川字寺ノ前505,33.69245708,134.4407407,
2263,指定避難場所,法覚寺,775-0010,徳島県海部郡牟岐町牟岐浦字浜崎,33.66704164,134.418356,
2264,指定避難場所,本町会館,775-0006,徳島県海部郡牟岐町中村字本村,33.66958461,134.418571,
2265,指定避難場所,満徳寺,775-0010,徳島県海部郡牟岐町牟岐浦字浜崎,33.6672444,134.4194077,
2266,津波避難場所,牟岐警察署,775-0006,徳島県海部郡牟岐町中村字山田2-1,33.668112,134.416362,
2267,津波避難場所、指定避難場所,牟岐小学校,775-0006,徳島県海部郡牟岐町中村字本村14,33.668334,134.419611,
2268,指定避難場所,牟岐西部保育所,775-0006,徳島県海部郡牟岐町中村字本村46-1,33.66980322,134.4206126,
2269,津波避難場所、指定避難場所,牟岐中学校,775-0004,徳島県海部郡牟岐町川長字市宇谷100,33.671972,134.426416,
2270,指定避難場所,牟岐町デイサービスセンター,775-0004,徳島県海部郡牟岐町川長字新光寺60-1,33.67402689,134.4214251,
2271,津波避難場所,牟岐町海の総合文化センター,775-0004,徳島県海部郡牟岐町川長字新光寺82,33.67458776,134.4216425,
2272,指定避難場所,牟岐町公民館,775-0006,徳島県海部郡牟岐町中村字本村7-4,33.668312,134.420661,
2273,津波避難場所,牟岐町西部保育所,775-0006,徳島県海部郡牟岐町中村字本村46-1,33.669806,134.420611,
2274,津波避難場所,牟岐町東部保育所,775-0005,徳島県海部郡牟岐町灘字宮田159,33.666917,134.42661,
2275,指定避難場所,牟岐町民センター,775-0000,徳島県海部郡牟岐町大字川長字大坪100-2,33.67134585,134.426092,
